##########
#Run Name                    = 'example2'
#Number of spin dimensions   = 1
#Number of space dimensions  = 2
#Sidelenth of lattice        = 500
#Random Spins                = False
#Update Algorith             = Metropolis
#Beta Start                  = 1.000000e+00
#Beta End                    = 4.000000e+00
#Beta Step                   = 4.000000e+00
#Max Settle Iterations       = 25000
#Random Seed                 = 0
##########
#Beta        <m>          <E>         
1.530000e+00 1.520000e-04 -3.358048e+00
1.531000e+00 1.760000e-04 -3.358592e+00
1.532000e+00 3.680000e-04 -3.358336e+00
1.533000e+00 3.440000e-04 -3.358304e+00
1.534000e+00 9.600000e-05 -3.357824e+00
1.535000e+00 2.720000e-04 -3.357856e+00
1.536000e+00 4.640000e-04 -3.357376e+00
1.537000e+00 8.000000e-05 -3.356544e+00
1.538000e+00 1.760000e-04 -3.356128e+00
1.539000e+00 1.680000e-04 -3.355168e+00
1.540000e+00 1.280000e-04 -3.355584e+00
1.541000e+00 3.200000e-04 -3.356640e+00
1.542000e+00 7.920000e-04 -3.357024e+00
1.543000e+00 6.080000e-04 -3.357408e+00
1.544000e+00 8.160000e-04 -3.358848e+00
1.545000e+00 3.840000e-04 -3.359168e+00
1.546000e+00 1.440000e-04 -3.359840e+00
1.547000e+00 1.120000e-04 -3.359296e+00
1.548000e+00 1.600000e-04 -3.357984e+00
1.549000e+00 2.160000e-04 -3.357952e+00
1.550000e+00 0.000000e+00 -3.357568e+00
1.551000e+00 1.680000e-04 -3.357824e+00
1.552000e+00 1.280000e-04 -3.359360e+00
1.553000e+00 3.920000e-04 -3.358176e+00
1.554000e+00 5.520000e-04 -3.358048e+00
1.555000e+00 6.240000e-04 -3.359520e+00
1.556000e+00 2.080000e-04 -3.359616e+00
1.557000e+00 3.280000e-04 -3.359296e+00
1.558000e+00 4.240000e-04 -3.359680e+00
1.559000e+00 3.120000e-04 -3.359264e+00
1.560000e+00 5.040000e-04 -3.358880e+00
1.561000e+00 5.920000e-04 -3.358176e+00
1.562000e+00 5.440000e-04 -3.357952e+00
1.563000e+00 3.200000e-05 -3.358432e+00
1.564000e+00 8.000000e-05 -3.357696e+00
1.565000e+00 1.680000e-04 -3.357600e+00
1.566000e+00 1.440000e-04 -3.358048e+00
1.567000e+00 3.680000e-04 -3.356096e+00
1.568000e+00 2.160000e-04 -3.355520e+00
1.569000e+00 4.800000e-04 -3.355360e+00
1.570000e+00 3.920000e-04 -3.355392e+00
1.571000e+00 6.400000e-05 -3.356448e+00
1.572000e+00 1.520000e-04 -3.357696e+00
1.573000e+00 1.840000e-04 -3.357472e+00
1.574000e+00 4.560000e-04 -3.355872e+00
1.575000e+00 6.960000e-04 -3.357184e+00
1.576000e+00 7.280000e-04 -3.356032e+00
1.577000e+00 6.000000e-04 -3.356160e+00
1.578000e+00 3.040000e-04 -3.355904e+00
1.579000e+00 0.000000e+00 -3.356352e+00
1.580000e+00 1.840000e-04 -3.354752e+00
1.581000e+00 6.560000e-04 -3.354240e+00
1.582000e+00 1.120000e-04 -3.353344e+00
1.583000e+00 3.200000e-04 -3.353024e+00
1.584000e+00 2.880000e-04 -3.351680e+00
1.585000e+00 1.600000e-04 -3.353088e+00
1.586000e+00 2.480000e-04 -3.353888e+00
1.587000e+00 2.400000e-04 -3.354304e+00
1.588000e+00 0.000000e+00 -3.353824e+00
1.589000e+00 4.640000e-04 -3.353632e+00
1.590000e+00 4.080000e-04 -3.354496e+00
1.591000e+00 1.760000e-04 -3.354912e+00
1.592000e+00 3.040000e-04 -3.353792e+00
1.593000e+00 5.440000e-04 -3.353376e+00
1.594000e+00 6.080000e-04 -3.354048e+00
1.595000e+00 5.600000e-05 -3.352480e+00
1.596000e+00 8.800000e-05 -3.352704e+00
1.597000e+00 3.520000e-04 -3.351872e+00
1.598000e+00 1.600000e-05 -3.350720e+00
1.599000e+00 2.000000e-04 -3.350464e+00
1.600000e+00 3.280000e-04 -3.349376e+00
1.601000e+00 3.440000e-04 -3.350336e+00
1.602000e+00 9.920000e-04 -3.351104e+00
1.603000e+00 1.080000e-03 -3.350560e+00
1.604000e+00 1.024000e-03 -3.350080e+00
1.605000e+00 1.152000e-03 -3.348608e+00
1.606000e+00 1.248000e-03 -3.349184e+00
1.607000e+00 9.760000e-04 -3.348320e+00
1.608000e+00 9.920000e-04 -3.347904e+00
1.609000e+00 1.056000e-03 -3.348512e+00
1.610000e+00 7.040000e-04 -3.348224e+00
1.611000e+00 8.400000e-04 -3.348640e+00
1.612000e+00 7.280000e-04 -3.349056e+00
1.613000e+00 6.160000e-04 -3.348640e+00
1.614000e+00 1.680000e-04 -3.349600e+00
1.615000e+00 4.800000e-05 -3.350784e+00
1.616000e+00 2.400000e-05 -3.350528e+00
1.617000e+00 2.880000e-04 -3.348160e+00
1.618000e+00 2.000000e-04 -3.348896e+00
1.619000e+00 3.280000e-04 -3.348768e+00
1.620000e+00 5.920000e-04 -3.349056e+00
1.621000e+00 5.360000e-04 -3.349568e+00
1.622000e+00 6.960000e-04 -3.347616e+00
1.623000e+00 4.800000e-04 -3.347872e+00
1.624000e+00 4.240000e-04 -3.347936e+00
1.625000e+00 2.800000e-04 -3.348064e+00
1.626000e+00 1.760000e-04 -3.347392e+00
1.627000e+00 3.200000e-05 -3.346752e+00
1.628000e+00 2.320000e-04 -3.346144e+00
1.629000e+00 1.600000e-05 -3.346432e+00
1.630000e+00 3.760000e-04 -3.346400e+00
1.631000e+00 4.400000e-04 -3.347392e+00
1.632000e+00 5.040000e-04 -3.346912e+00
1.633000e+00 6.080000e-04 -3.346752e+00
1.634000e+00 3.920000e-04 -3.347872e+00
1.635000e+00 1.360000e-04 -3.346208e+00
1.636000e+00 3.680000e-04 -3.345152e+00
1.637000e+00 5.600000e-05 -3.343456e+00
1.638000e+00 3.520000e-04 -3.343552e+00
1.639000e+00 6.320000e-04 -3.344448e+00
1.640000e+00 6.480000e-04 -3.343136e+00
1.641000e+00 6.320000e-04 -3.342656e+00
1.642000e+00 2.320000e-04 -3.344384e+00
1.643000e+00 5.040000e-04 -3.341504e+00
1.644000e+00 4.960000e-04 -3.341408e+00
1.645000e+00 8.000000e-05 -3.342496e+00
1.646000e+00 2.560000e-04 -3.341664e+00
1.647000e+00 6.160000e-04 -3.342624e+00
1.648000e+00 3.600000e-04 -3.343648e+00
1.649000e+00 5.120000e-04 -3.342976e+00
1.650000e+00 2.880000e-04 -3.343424e+00
1.651000e+00 5.040000e-04 -3.342560e+00
1.652000e+00 1.840000e-04 -3.342400e+00
1.653000e+00 3.200000e-05 -3.342688e+00
1.654000e+00 1.520000e-04 -3.344640e+00
1.655000e+00 3.280000e-04 -3.343296e+00
1.656000e+00 4.400000e-04 -3.342944e+00
1.657000e+00 4.720000e-04 -3.341984e+00
1.658000e+00 3.200000e-05 -3.341184e+00
1.659000e+00 1.840000e-04 -3.340448e+00
1.660000e+00 1.600000e-05 -3.341536e+00
1.661000e+00 1.120000e-04 -3.341120e+00
1.662000e+00 9.600000e-05 -3.341184e+00
1.663000e+00 2.240000e-04 -3.340928e+00
1.664000e+00 8.000000e-06 -3.340576e+00
1.665000e+00 8.000000e-05 -3.338464e+00
1.666000e+00 5.600000e-05 -3.338912e+00
1.667000e+00 1.840000e-04 -3.338784e+00
1.668000e+00 2.320000e-04 -3.337600e+00
1.669000e+00 3.040000e-04 -3.336704e+00
1.670000e+00 5.920000e-04 -3.337696e+00
1.671000e+00 3.840000e-04 -3.337216e+00
1.672000e+00 2.240000e-04 -3.337056e+00
1.673000e+00 1.520000e-04 -3.338240e+00
1.674000e+00 1.920000e-04 -3.337824e+00
1.675000e+00 2.640000e-04 -3.335584e+00
1.676000e+00 5.040000e-04 -3.335424e+00
1.677000e+00 1.040000e-03 -3.334368e+00
1.678000e+00 8.720000e-04 -3.333792e+00
1.679000e+00 9.360000e-04 -3.332352e+00
1.680000e+00 7.440000e-04 -3.332384e+00
1.681000e+00 4.080000e-04 -3.332000e+00
1.682000e+00 4.720000e-04 -3.331424e+00
1.683000e+00 5.684342e-20 -3.332256e+00
1.684000e+00 3.520000e-04 -3.332128e+00
1.685000e+00 5.200000e-04 -3.332224e+00
1.686000e+00 4.320000e-04 -3.333568e+00
1.687000e+00 9.280000e-04 -3.333152e+00
1.688000e+00 9.200000e-04 -3.333152e+00
1.689000e+00 1.168000e-03 -3.331200e+00
1.690000e+00 1.376000e-03 -3.330144e+00
1.691000e+00 9.760000e-04 -3.329632e+00
1.692000e+00 1.080000e-03 -3.331072e+00
1.693000e+00 1.080000e-03 -3.330688e+00
1.694000e+00 3.120000e-04 -3.330112e+00
1.695000e+00 5.040000e-04 -3.330752e+00
1.696000e+00 9.600000e-05 -3.329824e+00
1.697000e+00 2.320000e-04 -3.329600e+00
1.698000e+00 1.600000e-04 -3.329632e+00
1.699000e+00 6.880000e-04 -3.328160e+00
1.700000e+00 9.840000e-04 -3.326912e+00
1.701000e+00 5.520000e-04 -3.325792e+00
1.702000e+00 3.200000e-05 -3.325568e+00
1.703000e+00 6.480000e-04 -3.324896e+00
1.704000e+00 4.160000e-04 -3.323552e+00
1.705000e+00 3.360000e-04 -3.321600e+00
1.706000e+00 2.320000e-04 -3.320896e+00
1.707000e+00 3.920000e-04 -3.319712e+00
1.708000e+00 4.960000e-04 -3.319360e+00
1.709000e+00 7.200000e-05 -3.319360e+00
1.710000e+00 2.480000e-04 -3.320160e+00
1.711000e+00 2.400000e-04 -3.320960e+00
1.712000e+00 3.280000e-04 -3.319968e+00
1.713000e+00 1.120000e-04 -3.320224e+00
1.714000e+00 5.600000e-05 -3.319616e+00
1.715000e+00 2.640000e-04 -3.319072e+00
1.716000e+00 4.640000e-04 -3.319168e+00
1.717000e+00 3.280000e-04 -3.319008e+00
1.718000e+00 5.680000e-04 -3.317760e+00
1.719000e+00 2.080000e-04 -3.317728e+00
1.720000e+00 5.440000e-04 -3.316736e+00
1.721000e+00 1.032000e-03 -3.316800e+00
1.722000e+00 1.192000e-03 -3.317664e+00
1.723000e+00 1.128000e-03 -3.317376e+00
1.724000e+00 6.320000e-04 -3.317248e+00
1.725000e+00 8.000000e-04 -3.316320e+00
1.726000e+00 1.008000e-03 -3.315232e+00
1.727000e+00 9.280000e-04 -3.313408e+00
1.728000e+00 7.920000e-04 -3.314336e+00
1.729000e+00 3.200000e-05 -3.312992e+00
1.730000e+00 5.440000e-04 -3.313216e+00
1.731000e+00 7.200000e-04 -3.312576e+00
1.732000e+00 1.048000e-03 -3.311136e+00
1.733000e+00 1.000000e-03 -3.310592e+00
1.734000e+00 1.352000e-03 -3.310016e+00
1.735000e+00 6.480000e-04 -3.311296e+00
1.736000e+00 4.880000e-04 -3.310304e+00
1.737000e+00 7.440000e-04 -3.309024e+00
1.738000e+00 7.680000e-04 -3.308448e+00
1.739000e+00 3.920000e-04 -3.306752e+00
1.740000e+00 2.000000e-04 -3.306368e+00
1.741000e+00 1.840000e-04 -3.307680e+00
1.742000e+00 7.040000e-04 -3.307968e+00
1.743000e+00 4.080000e-04 -3.307648e+00
1.744000e+00 5.040000e-04 -3.306144e+00
1.745000e+00 1.048000e-03 -3.304352e+00
1.746000e+00 1.128000e-03 -3.303936e+00
1.747000e+00 1.200000e-03 -3.302496e+00
1.748000e+00 1.224000e-03 -3.300064e+00
1.749000e+00 1.048000e-03 -3.300640e+00
1.750000e+00 1.088000e-03 -3.298720e+00
1.751000e+00 6.480000e-04 -3.296832e+00
1.752000e+00 5.040000e-04 -3.295424e+00
1.753000e+00 2.640000e-04 -3.293120e+00
1.754000e+00 2.960000e-04 -3.294976e+00
1.755000e+00 8.000000e-06 -3.294240e+00
1.756000e+00 1.840000e-04 -3.293536e+00
1.757000e+00 3.520000e-04 -3.294880e+00
1.758000e+00 4.000000e-05 -3.293600e+00
1.759000e+00 2.000000e-04 -3.293376e+00
1.760000e+00 4.480000e-04 -3.294496e+00
1.761000e+00 2.400000e-04 -3.292480e+00
1.762000e+00 0.000000e+00 -3.291744e+00
1.763000e+00 1.360000e-04 -3.291040e+00
1.764000e+00 2.240000e-04 -3.291328e+00
1.765000e+00 6.400000e-05 -3.292480e+00
1.766000e+00 1.600000e-04 -3.293056e+00
1.767000e+00 4.400000e-04 -3.292800e+00
1.768000e+00 9.920000e-04 -3.291520e+00
1.769000e+00 6.080000e-04 -3.291744e+00
1.770000e+00 3.680000e-04 -3.292128e+00
1.771000e+00 6.320000e-04 -3.291040e+00
1.772000e+00 5.200000e-04 -3.289504e+00
1.773000e+00 5.120000e-04 -3.289728e+00
1.774000e+00 1.600000e-04 -3.289760e+00
1.775000e+00 1.760000e-04 -3.289952e+00
1.776000e+00 6.400000e-05 -3.291648e+00
1.777000e+00 4.800000e-05 -3.291232e+00
1.778000e+00 6.400000e-05 -3.289600e+00
1.779000e+00 9.600000e-05 -3.289504e+00
1.780000e+00 2.640000e-04 -3.288320e+00
1.781000e+00 3.200000e-05 -3.286432e+00
1.782000e+00 1.520000e-04 -3.284992e+00
1.783000e+00 4.640000e-04 -3.284160e+00
1.784000e+00 3.120000e-04 -3.284992e+00
1.785000e+00 5.280000e-04 -3.284448e+00
1.786000e+00 1.760000e-04 -3.283968e+00
1.787000e+00 1.920000e-04 -3.284992e+00
1.788000e+00 9.600000e-05 -3.284960e+00
1.789000e+00 2.160000e-04 -3.285216e+00
1.790000e+00 2.960000e-04 -3.283744e+00
1.791000e+00 5.920000e-04 -3.283040e+00
1.792000e+00 3.120000e-04 -3.284064e+00
1.793000e+00 8.720000e-04 -3.282144e+00
1.794000e+00 7.920000e-04 -3.282144e+00
1.795000e+00 4.480000e-04 -3.282848e+00
1.796000e+00 7.680000e-04 -3.281600e+00
1.797000e+00 8.240000e-04 -3.279328e+00
1.798000e+00 6.560000e-04 -3.279520e+00
1.799000e+00 8.480000e-04 -3.278016e+00
1.800000e+00 4.160000e-04 -3.276576e+00
1.801000e+00 2.400000e-05 -3.273184e+00
1.802000e+00 7.200000e-05 -3.271616e+00
1.803000e+00 3.200000e-05 -3.270816e+00
1.804000e+00 1.600000e-05 -3.269312e+00
1.805000e+00 2.880000e-04 -3.268064e+00
1.806000e+00 4.160000e-04 -3.267936e+00
1.807000e+00 2.080000e-04 -3.266464e+00
1.808000e+00 3.280000e-04 -3.268160e+00
1.809000e+00 8.000000e-05 -3.269056e+00
1.810000e+00 2.480000e-04 -3.269216e+00
1.811000e+00 8.800000e-05 -3.268544e+00
1.812000e+00 1.280000e-04 -3.269312e+00
1.813000e+00 5.200000e-04 -3.269056e+00
1.814000e+00 5.440000e-04 -3.267520e+00
1.815000e+00 3.520000e-04 -3.267584e+00
1.816000e+00 2.080000e-04 -3.267744e+00
1.817000e+00 6.480000e-04 -3.268128e+00
1.818000e+00 5.920000e-04 -3.268576e+00
1.819000e+00 2.720000e-04 -3.266656e+00
1.820000e+00 3.760000e-04 -3.266784e+00
1.821000e+00 7.360000e-04 -3.267328e+00
1.822000e+00 1.840000e-04 -3.266592e+00
1.823000e+00 8.000000e-06 -3.264480e+00
1.824000e+00 2.480000e-04 -3.263072e+00
1.825000e+00 4.800000e-05 -3.264512e+00
1.826000e+00 2.320000e-04 -3.265408e+00
1.827000e+00 4.000000e-05 -3.262464e+00
1.828000e+00 1.920000e-04 -3.262080e+00
1.829000e+00 1.280000e-04 -3.262240e+00
1.830000e+00 1.760000e-04 -3.261696e+00
1.831000e+00 3.520000e-04 -3.261824e+00
1.832000e+00 1.520000e-04 -3.261824e+00
1.833000e+00 1.920000e-04 -3.259104e+00
1.834000e+00 3.760000e-04 -3.257248e+00
1.835000e+00 1.600000e-05 -3.255936e+00
1.836000e+00 2.240000e-04 -3.254848e+00
1.837000e+00 1.600000e-05 -3.254464e+00
1.838000e+00 5.040000e-04 -3.252576e+00
1.839000e+00 6.160000e-04 -3.250848e+00
1.840000e+00 2.400000e-05 -3.251360e+00
1.841000e+00 2.400000e-05 -3.249312e+00
1.842000e+00 2.880000e-04 -3.248640e+00
1.843000e+00 2.640000e-04 -3.247680e+00
1.844000e+00 5.360000e-04 -3.248800e+00
1.845000e+00 5.440000e-04 -3.248448e+00
1.846000e+00 6.320000e-04 -3.246976e+00
1.847000e+00 2.000000e-04 -3.243488e+00
1.848000e+00 3.520000e-04 -3.244608e+00
1.849000e+00 6.240000e-04 -3.243744e+00
1.850000e+00 5.440000e-04 -3.244480e+00
1.851000e+00 1.760000e-04 -3.243168e+00
1.852000e+00 3.520000e-04 -3.244544e+00
1.853000e+00 8.000000e-06 -3.240864e+00
1.854000e+00 4.800000e-05 -3.240960e+00
1.855000e+00 2.640000e-04 -3.239104e+00
1.856000e+00 2.160000e-04 -3.240064e+00
1.857000e+00 4.400000e-04 -3.241024e+00
1.858000e+00 3.040000e-04 -3.239488e+00
1.859000e+00 4.800000e-04 -3.236800e+00
1.860000e+00 5.600000e-05 -3.236000e+00
1.861000e+00 1.440000e-04 -3.235680e+00
1.862000e+00 1.360000e-04 -3.235744e+00
1.863000e+00 4.320000e-04 -3.234592e+00
1.864000e+00 9.200000e-04 -3.236736e+00
1.865000e+00 9.440000e-04 -3.236256e+00
1.866000e+00 1.048000e-03 -3.235136e+00
1.867000e+00 1.288000e-03 -3.234208e+00
1.868000e+00 1.112000e-03 -3.233280e+00
1.869000e+00 1.032000e-03 -3.232384e+00
1.870000e+00 9.360000e-04 -3.233376e+00
1.871000e+00 8.800000e-04 -3.230912e+00
1.872000e+00 2.000000e-04 -3.230496e+00
1.873000e+00 1.243450e-20 -3.228928e+00
1.874000e+00 1.920000e-04 -3.226752e+00
1.875000e+00 3.920000e-04 -3.224928e+00
1.876000e+00 1.120000e-04 -3.222112e+00
1.877000e+00 4.480000e-04 -3.223328e+00
1.878000e+00 1.920000e-04 -3.223200e+00
1.879000e+00 2.160000e-04 -3.222688e+00
1.880000e+00 1.680000e-04 -3.222048e+00
1.881000e+00 3.120000e-04 -3.221152e+00
1.882000e+00 4.160000e-04 -3.221408e+00
1.883000e+00 8.240000e-04 -3.218720e+00
1.884000e+00 1.240000e-03 -3.218144e+00
1.885000e+00 4.480000e-04 -3.216448e+00
1.886000e+00 3.440000e-04 -3.215744e+00
1.887000e+00 1.600000e-05 -3.214848e+00
1.888000e+00 3.680000e-04 -3.215104e+00
1.889000e+00 4.720000e-04 -3.215648e+00
1.890000e+00 1.200000e-03 -3.214528e+00
1.891000e+00 1.064000e-03 -3.214592e+00
1.892000e+00 4.800000e-04 -3.214688e+00
1.893000e+00 1.760000e-04 -3.213344e+00
1.894000e+00 3.680000e-04 -3.213728e+00
1.895000e+00 5.440000e-04 -3.212448e+00
1.896000e+00 6.480000e-04 -3.212800e+00
1.897000e+00 4.960000e-04 -3.213632e+00
1.898000e+00 3.040000e-04 -3.211296e+00
1.899000e+00 5.440000e-04 -3.207840e+00
1.900000e+00 6.720000e-04 -3.209728e+00
1.901000e+00 7.360000e-04 -3.209920e+00
1.902000e+00 8.000000e-04 -3.208384e+00
1.903000e+00 1.368000e-03 -3.208096e+00
1.904000e+00 6.080000e-04 -3.209120e+00
1.905000e+00 5.600000e-05 -3.206176e+00
1.906000e+00 1.200000e-04 -3.203968e+00
1.907000e+00 1.040000e-04 -3.203296e+00
1.908000e+00 2.080000e-04 -3.203296e+00
1.909000e+00 7.200000e-05 -3.202880e+00
1.910000e+00 2.480000e-04 -3.202624e+00
1.911000e+00 4.000000e-05 -3.202816e+00
1.912000e+00 1.520000e-04 -3.202400e+00
1.913000e+00 0.000000e+00 -3.199136e+00
1.914000e+00 2.400000e-04 -3.196256e+00
1.915000e+00 7.200000e-05 -3.196512e+00
1.916000e+00 4.960000e-04 -3.194880e+00
1.917000e+00 4.000000e-05 -3.192224e+00
1.918000e+00 6.640000e-04 -3.190336e+00
1.919000e+00 4.400000e-04 -3.189600e+00
1.920000e+00 3.360000e-04 -3.188640e+00
1.921000e+00 8.800000e-05 -3.186880e+00
1.922000e+00 7.280000e-04 -3.185376e+00
1.923000e+00 4.640000e-04 -3.183296e+00
1.924000e+00 1.080000e-03 -3.183744e+00
1.925000e+00 1.024000e-03 -3.183104e+00
1.926000e+00 7.840000e-04 -3.183584e+00
1.927000e+00 6.800000e-04 -3.184448e+00
1.928000e+00 6.720000e-04 -3.181472e+00
1.929000e+00 5.680000e-04 -3.180896e+00
1.930000e+00 4.800000e-05 -3.180640e+00
1.931000e+00 6.400000e-05 -3.179712e+00
1.932000e+00 2.240000e-04 -3.178528e+00
1.933000e+00 3.200000e-04 -3.176864e+00
1.934000e+00 3.200000e-05 -3.176480e+00
1.935000e+00 6.080000e-04 -3.176448e+00
1.936000e+00 2.560000e-04 -3.175712e+00
1.937000e+00 6.800000e-04 -3.176256e+00
1.938000e+00 8.320000e-04 -3.175040e+00
1.939000e+00 8.480000e-04 -3.174080e+00
1.940000e+00 6.160000e-04 -3.173664e+00
1.941000e+00 4.240000e-04 -3.172128e+00
1.942000e+00 1.920000e-04 -3.171296e+00
1.943000e+00 5.120000e-04 -3.170240e+00
1.944000e+00 2.720000e-04 -3.166112e+00
1.945000e+00 4.960000e-04 -3.164960e+00
1.946000e+00 6.080000e-04 -3.165440e+00
1.947000e+00 1.008000e-03 -3.165664e+00
1.948000e+00 1.104000e-03 -3.164864e+00
1.949000e+00 1.080000e-03 -3.166016e+00
1.950000e+00 1.320000e-03 -3.164192e+00
1.951000e+00 1.256000e-03 -3.163808e+00
1.952000e+00 9.360000e-04 -3.163744e+00
1.953000e+00 9.840000e-04 -3.163648e+00
1.954000e+00 1.760000e-04 -3.161504e+00
1.955000e+00 4.160000e-04 -3.158752e+00
1.956000e+00 5.600000e-05 -3.157952e+00
1.957000e+00 4.640000e-04 -3.157312e+00
1.958000e+00 2.800000e-04 -3.156864e+00
1.959000e+00 3.600000e-04 -3.158112e+00
1.960000e+00 3.360000e-04 -3.157312e+00
1.961000e+00 8.640000e-04 -3.156256e+00
1.962000e+00 1.008000e-03 -3.154400e+00
1.963000e+00 5.440000e-04 -3.155360e+00
1.964000e+00 2.160000e-04 -3.153024e+00
1.965000e+00 2.320000e-04 -3.152800e+00
1.966000e+00 4.000000e-05 -3.153344e+00
1.967000e+00 1.520000e-04 -3.154848e+00
1.968000e+00 5.040000e-04 -3.155520e+00
1.969000e+00 3.680000e-04 -3.156512e+00
1.970000e+00 4.800000e-05 -3.158560e+00
1.971000e+00 1.120000e-04 -3.158688e+00
1.972000e+00 7.680000e-04 -3.157248e+00
1.973000e+00 1.056000e-03 -3.156832e+00
1.974000e+00 7.440000e-04 -3.155328e+00
1.975000e+00 1.680000e-04 -3.156256e+00
1.976000e+00 3.440000e-04 -3.155232e+00
1.977000e+00 1.040000e-04 -3.153856e+00
1.978000e+00 7.680000e-04 -3.153376e+00
1.979000e+00 5.680000e-04 -3.155584e+00
1.980000e+00 5.760000e-04 -3.153792e+00
1.981000e+00 6.640000e-04 -3.152608e+00
1.982000e+00 8.560000e-04 -3.151712e+00
1.983000e+00 9.200000e-04 -3.148640e+00
1.984000e+00 8.480000e-04 -3.145888e+00
1.985000e+00 7.520000e-04 -3.141888e+00
1.986000e+00 4.240000e-04 -3.142368e+00
1.987000e+00 7.280000e-04 -3.141792e+00
1.988000e+00 9.120000e-04 -3.137344e+00
1.989000e+00 1.344000e-03 -3.136736e+00
1.990000e+00 6.000000e-04 -3.133056e+00
1.991000e+00 4.880000e-04 -3.133632e+00
1.992000e+00 7.760000e-04 -3.133792e+00
1.993000e+00 6.400000e-05 -3.132032e+00
1.994000e+00 5.440000e-04 -3.136512e+00
1.995000e+00 3.440000e-04 -3.136448e+00
1.996000e+00 1.280000e-04 -3.134464e+00
1.997000e+00 5.280000e-04 -3.132992e+00
1.998000e+00 2.160000e-04 -3.132128e+00
1.999000e+00 4.640000e-04 -3.132992e+00
2.000000e+00 5.120000e-04 -3.131904e+00
2.001000e+00 2.640000e-04 -3.132512e+00
2.002000e+00 3.520000e-04 -3.132000e+00
2.003000e+00 1.360000e-04 -3.131488e+00
2.004000e+00 1.680000e-04 -3.127776e+00
2.005000e+00 1.600000e-05 -3.127680e+00
2.006000e+00 3.360000e-04 -3.129376e+00
2.007000e+00 1.040000e-04 -3.130848e+00
2.008000e+00 1.760000e-04 -3.130848e+00
2.009000e+00 1.040000e-04 -3.130112e+00
2.010000e+00 1.440000e-04 -3.128832e+00
2.011000e+00 1.440000e-04 -3.127744e+00
2.012000e+00 1.200000e-04 -3.129728e+00
2.013000e+00 1.200000e-04 -3.127616e+00
2.014000e+00 3.200000e-05 -3.124992e+00
2.015000e+00 5.600000e-05 -3.123424e+00
2.016000e+00 1.000000e-03 -3.122944e+00
2.017000e+00 7.920000e-04 -3.121920e+00
2.018000e+00 6.560000e-04 -3.118560e+00
2.019000e+00 5.840000e-04 -3.116320e+00
2.020000e+00 2.400000e-05 -3.114656e+00
2.021000e+00 9.600000e-05 -3.113408e+00
2.022000e+00 1.760000e-04 -3.113088e+00
2.023000e+00 2.080000e-04 -3.112736e+00
2.024000e+00 2.480000e-04 -3.112000e+00
2.025000e+00 4.640000e-04 -3.110464e+00
2.026000e+00 1.168000e-03 -3.109248e+00
2.027000e+00 1.160000e-03 -3.108704e+00
2.028000e+00 1.472000e-03 -3.108896e+00
2.029000e+00 1.288000e-03 -3.108096e+00
2.030000e+00 1.744000e-03 -3.106816e+00
2.031000e+00 1.392000e-03 -3.106080e+00
2.032000e+00 1.248000e-03 -3.103360e+00
2.033000e+00 7.440000e-04 -3.101536e+00
2.034000e+00 8.080000e-04 -3.100416e+00
2.035000e+00 8.000000e-04 -3.098944e+00
2.036000e+00 5.840000e-04 -3.096896e+00
2.037000e+00 8.800000e-05 -3.095744e+00
2.038000e+00 3.760000e-04 -3.094816e+00
2.039000e+00 3.360000e-04 -3.096000e+00
2.040000e+00 2.480000e-04 -3.094528e+00
2.041000e+00 4.080000e-04 -3.096288e+00
2.042000e+00 3.200000e-05 -3.094496e+00
2.043000e+00 1.840000e-04 -3.093344e+00
2.044000e+00 4.400000e-04 -3.093088e+00
2.045000e+00 1.840000e-04 -3.092768e+00
2.046000e+00 1.120000e-04 -3.088640e+00
2.047000e+00 1.840000e-04 -3.087072e+00
2.048000e+00 1.440000e-04 -3.085984e+00
2.049000e+00 2.800000e-04 -3.084480e+00
2.050000e+00 2.400000e-04 -3.081728e+00
2.051000e+00 8.000000e-05 -3.079584e+00
2.052000e+00 8.000000e-05 -3.077760e+00
2.053000e+00 3.200000e-04 -3.076000e+00
2.054000e+00 6.640000e-04 -3.073632e+00
2.055000e+00 3.760000e-04 -3.072192e+00
2.056000e+00 7.120000e-04 -3.068864e+00
2.057000e+00 4.640000e-04 -3.066752e+00
2.058000e+00 2.800000e-04 -3.066528e+00
2.059000e+00 3.200000e-05 -3.061696e+00
2.060000e+00 3.440000e-04 -3.061504e+00
2.061000e+00 6.880000e-04 -3.062208e+00
2.062000e+00 2.800000e-04 -3.061664e+00
2.063000e+00 3.680000e-04 -3.060640e+00
2.064000e+00 4.000000e-04 -3.060096e+00
2.065000e+00 4.640000e-04 -3.058688e+00
2.066000e+00 4.720000e-04 -3.057568e+00
2.067000e+00 4.720000e-04 -3.057152e+00
2.068000e+00 5.120000e-04 -3.055776e+00
2.069000e+00 8.000000e-06 -3.054784e+00
2.070000e+00 4.880000e-04 -3.054464e+00
2.071000e+00 5.040000e-04 -3.053856e+00
2.072000e+00 4.480000e-04 -3.051808e+00
2.073000e+00 1.600000e-05 -3.050816e+00
2.074000e+00 4.080000e-04 -3.050464e+00
2.075000e+00 8.720000e-04 -3.051808e+00
2.076000e+00 8.320000e-04 -3.048992e+00
2.077000e+00 8.400000e-04 -3.046208e+00
2.078000e+00 6.480000e-04 -3.043776e+00
2.079000e+00 3.520000e-04 -3.042944e+00
2.080000e+00 4.880000e-04 -3.043136e+00
2.081000e+00 6.080000e-04 -3.042592e+00
